"Commodity","Category","Item","Units","Size","Region","Country","Year","Value","Survey base year"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","U.S. total","United States",2000,12.63,"Base survey of 2000"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","U.S. total","United States",2001,15.36,"Base survey of 2000"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","U.S. total","United States",2002,12.47,"Base survey of 2000"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","U.S. total","United States",2003,12.86,"Base survey of 2000"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","U.S. total","United States",2004,16.58,"Base survey of 2000"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","U.S. total","United States",2005,15.23,"Base survey of 2005"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","U.S. total","United States",2006,12.99,"Base survey of 2005"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","U.S. total","United States",2007,19.28,"Base survey of 2005"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","U.S. total","United States",2008,18.48,"Base survey of 2005"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","U.S. total","United States",2009,12.81,"Base survey of 2005"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","U.S. total","United States",2010,16.26,"Base survey of 2010"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","U.S. total","United States",2011,19.67,"Base survey of 2010"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","U.S. total","United States",2012,18.64,"Base survey of 2010"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","U.S. total","United States",2013,19.88,"Base survey of 2010"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","U.S. total","United States",2014,23.76,"Base survey of 2010"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","U.S. total","United States",2015,17.02,"Base survey of 2010"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","U.S. total","United States",2016,16.83,"Base survey of 2016"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","U.S. total","United States",2017,18.25,"Base survey of 2016"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","U.S. total","United States",2018,16.82,"Base survey of 2016"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","U.S. total","United States",2019,19.26,"Base survey of 2016"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","U.S. total","United States",2020,18.87,"Base survey of 2016"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","U.S. total","United States",2021,18.44,"Base survey of 2021"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","U.S. total","United States",2022,25.18,"Base survey of 2021"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","U.S. total","United States",2023,20.24,"Base survey of 2021"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","U.S. total","United States",2024,22.44,"Base survey of 2021"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Heartland","United States",2000,12.36,"Base survey of 2000"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Heartland","United States",2001,15.31,"Base survey of 2000"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Heartland","United States",2002,12.33,"Base survey of 2000"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Heartland","United States",2003,12.93,"Base survey of 2000"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Heartland","United States",2004,16.71,"Base survey of 2000"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Heartland","United States",2005,15.24,"Base survey of 2005"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Heartland","United States",2006,13.15,"Base survey of 2005"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Heartland","United States",2007,19.3,"Base survey of 2005"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Heartland","United States",2008,18.86,"Base survey of 2005"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Heartland","United States",2009,12.89,"Base survey of 2005"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Heartland","United States",2010,16.56,"Base survey of 2010"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Heartland","United States",2011,20.03,"Base survey of 2010"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Heartland","United States",2012,19.14,"Base survey of 2010"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Heartland","United States",2013,20.26,"Base survey of 2010"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Heartland","United States",2014,24.16,"Base survey of 2010"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Heartland","United States",2015,17.27,"Base survey of 2010"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Heartland","United States",2016,16.82,"Base survey of 2016"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Heartland","United States",2017,18.19,"Base survey of 2016"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Heartland","United States",2018,16.56,"Base survey of 2016"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Heartland","United States",2019,19.23,"Base survey of 2016"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Heartland","United States",2020,19.22,"Base survey of 2016"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Heartland","United States",2021,18.7,"Base survey of 2021"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Heartland","United States",2022,25.05,"Base survey of 2021"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Heartland","United States",2023,19.93,"Base survey of 2021"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Heartland","United States",2024,22.5,"Base survey of 2021"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Northern Crescent","United States",2000,12.9,"Base survey of 2000"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Northern Crescent","United States",2001,15.78,"Base survey of 2000"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Northern Crescent","United States",2002,12.91,"Base survey of 2000"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Northern Crescent","United States",2003,13.41,"Base survey of 2000"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Northern Crescent","United States",2004,17.29,"Base survey of 2000"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Northern Crescent","United States",2005,15.94,"Base survey of 2005"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Northern Crescent","United States",2006,13.63,"Base survey of 2005"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Northern Crescent","United States",2007,19.92,"Base survey of 2005"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Northern Crescent","United States",2008,19.28,"Base survey of 2005"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Northern Crescent","United States",2009,13.36,"Base survey of 2005"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Northern Crescent","United States",2010,17.21,"Base survey of 2010"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Northern Crescent","United States",2011,20.87,"Base survey of 2010"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Northern Crescent","United States",2012,19.88,"Base survey of 2010"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Northern Crescent","United States",2013,20.91,"Base survey of 2010"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Northern Crescent","United States",2014,25.08,"Base survey of 2010"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Northern Crescent","United States",2015,18.01,"Base survey of 2010"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Northern Crescent","United States",2016,17.67,"Base survey of 2016"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Northern Crescent","United States",2017,19.06,"Base survey of 2016"
